"","obs","study","id","yieldcontrol","yieldcover","SD.EXP.","SD.CON.","Type","N.control.","N.exp.","Dferror","Species","Nitrogen","Years","Tillage","killdate","State","BioOrGrain","authors","pubyear","datayears","Design","Reps","SoilType","corn.cultivar","corn.pl.date.actual","corn.pl.date.julian","corn.hv.date.actual","corn.hv.date.julian","corn.population","corn.growseason.julian","X","cc.cultivar","cc.pl.date.actual","cc.pl.date.julian","cc.pl.method","cc.seed.rate.seeds.ha","cc.seed.rate.kg.ha","cc.kill.date.dbplcorn","cc.kill.date.actual","cc.kill.date.julian","cc.growseason.julian","cc.kill.method","cc.bmass","corn.bmass","cc.rain","corn.rain","cc.temp","corn.temp","cc.nitro.uptake","purpose.study","metaA","region","soiltexture.authors","soiltexture.ours","NFR","KDate","yi","vi"
"11",11,"g5","5d",11.62,11.01,0.31,0.32,"grass",2,2,23,"rye",101,2,"NT",15,"Iowa","grain","Singer, Cambardella, Moorman",2008,"2006, 2007","RCBD",4,"Fine-loamy, mixed, superactive, calcareous, mesic, Typic Endoaquolls","Dekalb DKC 59-08","5/4/2016",124,"10/7/2016",280,81510,156,"","maton_jerry","9/4/2016",247,"interseeding",2600000,65,15,"4/19/2016",109,227,"chemical",2.8235,NA,NA,NA,NA,21.3,31.66,"Enhancing nutrients by doubling CC","G","north central","fine","medium","mid","early",-0.0539238006891765,0.000775577131911615
"12",12,"g6","6e",3.74,4.64,1.38,1.9,"grass",3,3,51,"oat",0,3,"CT",NA,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","gem","8/25/2016",237,"drilling",4604600,115,191,"11/14/2016",301,81,"winterfrost",1.58,NA,274,397.5,14.25,17.33,37,"Corn yield response to nitrogen","G","north central","coarse","coarse","low",NA,0.215628754811723,0.115513565802017
"13",13,"g6","6f",6.44,7.71,1.55,2.39,"grass",3,3,51,"oat",56,3,"CT",NA,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","gem","8/25/2016",237,"drilling",4604600,115,191,"11/14/2016",301,81,"winterfrost",1.58,NA,274,397.5,14.25,17.33,37,"Corn yield response to nitrogen","G","north central","coarse","coarse","low",NA,0.179989647458976,0.0593815670605553
"14",14,"g6","6g",8.61,9.7,1.38,2.3,"grass",3,3,51,"oat",112,3,"CT",NA,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","gem","8/25/2016",237,"drilling",4604600,115,191,"11/14/2016",301,81,"winterfrost",1.58,NA,274,397.5,14.25,17.33,37,"Corn yield response to nitrogen","G","north central","coarse","coarse","mid",NA,0.119201567069698,0.0305330988019318
"15",15,"g6","6h",10.75,11.26,1.17,1.74,"grass",3,3,51,"oat",168,3,"CT",NA,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","gem","8/25/2016",237,"drilling",4604600,115,191,"11/14/2016",301,81,"winterfrost",1.58,NA,274,397.5,14.25,17.33,37,"Corn yield response to nitrogen","G","north central","coarse","coarse","mid",NA,0.0463508681378726,0.0123318691102626
"16",16,"g6","6i",11.33,11.88,0.57,1.06,"grass",3,3,51,"oat",224,3,"CT",NA,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","gem","8/25/2016",237,"drilling",4604600,115,191,"11/14/2016",301,81,"winterfrost",1.58,NA,274,397.5,14.25,17.33,37,"Corn yield response to nitrogen","G","north central","coarse","coarse","high",NA,0.0474022388945839,0.00368498662870175
"17",17,"g6","6j",11.75,12.43,1.05,1.23,"grass",3,3,51,"oat",280,3,"CT",NA,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","gem","8/25/2016",237,"drilling",4604600,115,191,"11/14/2016",301,81,"winterfrost",1.58,NA,274,397.5,14.25,17.33,37,"Corn yield response to nitrogen","G","north central","coarse","coarse","high",NA,0.0562596649324518,0.0060312588664815
"18",18,"g6","6k",3.74,4.81,2.36,1.9,"grass",3,3,51,"triticale",0,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","world river","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.96,NA,399,397.5,7.7,17.33,17.66,"Corn yield response to nitrogen","G","north central","coarse","coarse","low","late",0.251611472691229,0.166272583092554
"19",19,"g6","6l",6.44,7.83,2.3,2.39,"grass",3,3,51,"triticale",56,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","world river","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.96,NA,399,397.5,7.7,17.33,17.66,"Corn yield response to nitrogen","G","north central","coarse","coarse","low","late",0.195433969886449,0.0746709840708358
"20",20,"g6","6m",8.61,9.47,2.45,2.3,"grass",3,3,51,"triticale",112,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","world river","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.96,NA,399,397.5,7.7,17.33,17.66,"Corn yield response to nitrogen","G","north central","coarse","coarse","mid","late",0.0952045887583475,0.0460969518491705
"21",21,"g6","6n",10.75,11.4,1.82,1.74,"grass",3,3,51,"triticale",168,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","world river","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.96,NA,399,397.5,7.7,17.33,17.66,"Corn yield response to nitrogen","G","north central","coarse","coarse","mid","late",0.0587076008267779,0.0172288841935695
"22",22,"g6","6o",11.33,12.17,0.91,1.06,"grass",3,3,51,"triticale",224,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","world river","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.96,NA,399,397.5,7.7,17.33,17.66,"Corn yield response to nitrogen","G","north central","coarse","coarse","high","late",0.0715198319595209,0.00478135170299638
"23",23,"g6","6p",11.75,12.47,0.68,1.23,"grass",3,3,51,"triticale",280,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","world river","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.96,NA,399,397.5,7.7,17.33,17.66,"Corn yield response to nitrogen","G","north central","coarse","coarse","high","late",0.0594725191017771,0.00464389893644054
"24",24,"g6","6q",3.74,5.22,2.4,1.9,"grass",3,3,51,"rye",0,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","spooner","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.93,NA,399,397.5,7.7,17.33,18,"Corn yield response to nitrogen","G","north central","coarse","coarse","low","late",0.333411790468107,0.156491430557378
"25",25,"g6","6r",6.44,7.9,2.34,2.39,"grass",3,3,51,"rye",56,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","spooner","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.93,NA,399,397.5,7.7,17.33,18,"Corn yield response to nitrogen","G","north central","coarse","coarse","low","late",0.204334219356714,0.0751548396325226
"26",26,"g6","6s",8.61,9.69,1.78,2.3,"grass",3,3,51,"rye",112,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","spooner","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.93,NA,399,397.5,7.7,17.33,18,"Corn yield response to nitrogen","G","north central","coarse","coarse","mid","late",0.118170107463035,0.0350342604544342
"27",27,"g6","6t",10.75,11.21,1.35,1.74,"grass",3,3,51,"rye",168,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","spooner","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.93,NA,399,397.5,7.7,17.33,18,"Corn yield response to nitrogen","G","north central","coarse","coarse","mid","late",0.0419004825103969,0.0135672529672081
"28",28,"g6","6u",11.33,11.84,0.67,1.06,"grass",3,3,51,"rye",224,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","spooner","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.93,NA,399,397.5,7.7,17.33,18,"Corn yield response to nitrogen","G","north central","coarse","coarse","high","late",0.0440295544159447,0.00398502742102815
"29",29,"g6","6v",11.75,12.45,0.71,1.23,"grass",3,3,51,"rye",280,3,"CT",1,"Wisconsin","grain","Andraski, Bundy",2005,"2001, 2002, 2003","RCBD",4,"Mixed, mesic Typic Udipsamment","DK493_DKC5073_P37R71","5/7/2016",127,"10/30/2016",303,76500,176,"","spooner","8/25/2016",237,"drilling",5805800,145,1,"5/7/2016",80,208,"mechanical",0.93,NA,399,397.5,7.7,17.33,18,"Corn yield response to nitrogen","G","north central","coarse","coarse","high","late",0.0578673823205485,0.00473676206301155
"30",30,"g7","7b",12.85,12.6,0.71,0.64,"grass",2,2,12,"gamagrass",220,2,"NT",9,"Iowa","grain","Kaspar, Jaynes, Parkin",2007,"2002, 2004","RCBD",4,"Fine-loamy, mixed, superactive, calcareous, mesic Typic and aquic hapludolls","Pioneer 34B23","4/26/2016",116,"10/2/2016",275,79000,159,"","unstated","9/23/2016",266,"drilling",480480,12,10,"4/16/2016",106,205,"chemical",2.02,NA,177.37,394,4.36,52.4,25.5,"CC effect on NO3 concentration","G","north central","fine","medium fine","high","mid",-0.0196469973837965,0.00282790782697688
"31",31,"g7","7c",12.85,12.25,1.48,0.64,"grass",2,2,12,"rye",220,2,"NT",9,"Iowa","grain","Kaspar, Jaynes, Parkin",2007,"2002, 2004","RCBD",4,"Fine-loamy, mixed, superactive, calcareous, mesic Typic and aquic hapludolls","Pioneer 34B24","4/26/2016",116,"10/2/2016",275,79000,159,"","rymin","9/23/2016",266,"drilling",3100000,77,10,"4/16/2016",106,205,"chemical",1.95,NA,177.37,394,4.36,52.4,52.15,"CC effect on NO3 concentration","G","north central","fine","medium fine","high","mid",-0.0478178743504928,0.00853858367705992
"32",32,"g8","8b",15.25,15.2,0.57,1.34,"grass",2,2,15,"rye",100,2,"NT",14,"Michigan","biomass","Fronning, Thelen, Doo-Hong Ming",2008,"2002, 2004","RCBD",4,"Fine-loamy, mixed, active, mesic Aeric Epiaqualfs and typic endoaquolls and typic haplaquolls",NA,"5/18/2016",138,"9/13/2016",256,NA,118,"",NA,"10/2/2016",275,"drilling",2802800,70,13,"5/4/2016",125,214,"chemical",NA,15.58,NA,NA,NA,NA,NA,"Using manure and compost and CC for to supplant corn residue carbon","G","north central","fine","medium fine","mid","early",-0.00328407520119,0.0045635926162322
"33",33,"g8","8c",14.85,16.6,0.42,1.06,"grass",2,2,15,"rye",100,2,"NT",14,"Michigan","biomass","Fronning, Thelen, Doo-Hong Ming",2008,"2002, 2004","RCBD",4,"Fine-loamy, mixed, active, mesic Aeric Epiaqualfs and typic endoaquolls and typic haplaquolls",NA,"5/18/2016",138,"9/13/2016",256,NA,118,"",NA,"10/2/2016",275,"drilling",2802800,70,13,"5/4/2016",125,214,"chemical",NA,15.58,NA,NA,NA,NA,NA,"Using manure and compost and CC for to supplant corn residue carbon","G","north central","fine","medium fine","mid","early",0.111402830113789,0.00286766132990265
"34",34,"g8","8d",13.85,15.3,0.28,0.35,"grass",2,2,15,"rye",100,2,"NT",14,"Michigan","biomass","Fronning, Thelen, Doo-Hong Ming",2008,"2002, 2004","RCBD",4,"Fine-loamy, mixed, active, mesic Aeric Epiaqualfs and typic endoaquolls and typic haplaquolls",NA,"5/18/2016",138,"9/13/2016",256,NA,118,"",NA,"10/2/2016",275,"drilling",2802800,70,13,"5/4/2016",125,214,"chemical",NA,15.58,NA,NA,NA,NA,NA,"Using manure and compost and CC for to supplant corn residue carbon","G","north central","fine","medium fine","mid","early",0.0995675957650424,0.000486762569047015
"35",35,"g9","9c",9.43,9.2,3.12,3.37,"grass",4,4,6,"rye",218,4,"NT",NA,"Illinois","grain","Olson, Ebelhar, Lang",2010,"2003, 2005, 2007, 2009","Latin Square Split Plot",4,"FIne-silty, mixed, mesic Typic Fragiudalf",NA,NA,NA,NA,NA,64000,NA,"",NA,NA,NA,NA,2802800,70,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"CC effect on crop yield and soil organic carbon content","G","north central","fine","medium","high",NA,-0.0246926125903715,0.0606807092276741
"36",36,"g9","9d",9.9,9.53,3.04,3.36,"grass",4,4,6,"rye",218,4,"CT",NA,"Illinois","grain","Olson, Ebelhar, Lang",2010,"2003, 2005, 2007, 2009","Latin Square Split Plot",4,"FIne-silty, mixed, mesic Typic Fragiudalf",NA,NA,NA,NA,NA,64000,NA,"",NA,NA,NA,NA,2802800,70,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"CC effect on crop yield and soil organic carbon content","G","north central","fine","medium","high",NA,-0.0380900394744336,0.0542361399743386
"37",37,"g9","9e",10.13,10.3,3.3,3.19,"grass",4,4,6,"rye",218,4,"CT",NA,"Illinois","grain","Olson, Ebelhar, Lang",2010,"2003, 2005, 2007, 2009","Latin Square Split Plot",4,"FIne-silty, mixed, mesic Typic Fragiudalf",NA,NA,NA,NA,NA,64000,NA,"",NA,NA,NA,NA,2802800,70,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"CC effect on crop yield and soil organic carbon content","G","north central","fine","medium","high",NA,0.0166425769749981,0.0504536553411666
"38",38,"g10","10b",9.7,10.02,1.93,1.62,"grass",3,3,54,"rye",227.5,3,"NT",10,"Pennsylvania","grain","Duiker, Curran",2005,"2001, 2002, 2003","Split Split",4,"Fine mixed semiactive mesic Typic Hapludalf and fine-loamy mixed semiactive mesic Typic Hapludult",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2802800,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affect of Rye CC managemnet on grain yield","G","north east","fine","medium","high","mid",0.0324572101473817,0.0216642977347517
"39",39,"g11","11b",3.89,5.05,0.5,0.15,"grass",2,2,6,"rye",0,2,"CT",28,"Massachussets","grain","Hashemi, Farsad, Sadeghpour, Weis, Herbert",2013,"2005, 2006","RCBD",4,"Fine-sandy loam, Typic Udifluvent, coarse-silty, mixed, nonacid, mesic","Dekalb DKC 49-94","5/6/2016",126,"8/25/2016",237,NA,111,"","unstated","9/23/2016",266,"drilling",2802800,70,154,"10/7/2016",337,196,"mechanical",1.26,NA,239,204.5,8,19.5,64,"Seeding date effect on fall nitrogen recovery","G","north east","fine","medium","low","early",0.260979085656913,0.00564493290727344
"40",40,"g11","11c",3.89,6.02,0.94,0.15,"grass",2,2,6,"oat",0,2,"CT",NA,"Massachussets","grain","Hashemi, Farsad, Sadeghpour, Weis, Herbert",2013,"2005, 2006","RCBD",4,"Fine-sandy loam, Typic Udifluvent, coarse-silty, mixed, nonacid, mesic","Dekalb DKC 49-94","5/6/2016",126,"8/25/2016",237,NA,111,"","unstated","9/23/2016",266,"drilling",1940400,45,154,"10/7/2016",337,45,"winterfrost",0.98,NA,239,204.5,8,19.5,64,"Seeding date effect on fall nitrogen recovery","G","north east","fine","medium","low",NA,0.436678101690375,0.0129342673311586
"41",41,"g12","12b",20.2,19.55,3.75,3.54,"grass",2,2,6,"rye",110,2,"CT",21,"Minnesota","biomass","Krueger, Ochsner, Porter, Baker",2011,"2008, 2009","RCBD",4,"Fine-loamy, mixed, superac- tive, frigid Calcic Hapludoll","Pioneer 37Y14","5/22/2016",142,"9/21/2016",264,88180,122,"","unstated","9/16/2016",259,"drilling",3763760,94,26,"4/26/2016",116,222,"chemical",0.776,19.55,110,200,-2.29,14.54,26.5,"WCC effects soil water, soil nitrate and development","G","north central","fine","medium fine","mid","early",-0.0327073179757842,0.0337525089215767
"42",42,"g12","12c",20.2,15.7,2.83,3.54,"grass",2,2,6,"rye",110,2,"CT",3,"Minnesota","biomass","Krueger, Ochsner, Porter, Baker",2011,"2008, 2009","RCBD",4,"Fine-loamy, mixed, superac- tive, frigid Calcic Hapludoll","Pioneer 37Y14","5/22/2016",142,"9/21/2016",264,88180,122,"","unstated","9/16/2016",259,"drilling",3763760,94,2,"5/20/2016",140,246,"mechanical",2.082,15.7,130,200,5.4,14.54,79.05,"WCC effects soil water, soil nitrate and development","G","north central","fine","medium fine","mid","late",-0.252021892052897,0.0316017397942239
"43",43,"g13","13b",10.06,10.48,3.28,2.97,"grass",2,2,3,"rye",133,2,"CT",28,"Maryland","grain","Lawley, Weil, Teasdale",2011,"2007, 2008","RCBD",4,"Fine-loamy, siliceous, semiactive, mesic Aquic Hapludult and coarse-loamy","Pioneer 38B84","4/26/2016",116,"9/14/2016",257,74000,141,"","wheeler","9/5/2016",248,"drilling",5405400,135,30,"3/27/2016",86,203,"chemical",4.025,NA,NA,NA,NA,NA,NA,"Weed supression","G","north east","fine","medium","mid","early",0.0409015142213029,0.0925573037867569
"44",44,"g14","14b",18.47,18.46,1.18,0.94,"grass",3,3,6,"rye",208,3,"NT",11,"Iowa","biomass","Moore, Wiedenhoeft, Kaspar, Cambardella",2014,"2009, 2010, 2011","RCBD",6,"Fine-loamy, mixed, superactive, mesic Typic hapludoll and Aquic Hapludoll","Pioneer 36V75","5/3/2016",123,"9/7/2016",250,79000,127,"","unstated","8/5/2016",217,"drilling",3e+06,74,11,"4/22/2016",112,260,"chemical",NA,18.45666667,663,640,5.33,20.15,NA,"Soil quality","G","north central","fine","medium fine","high","mid",-0.000541565136442356,0.00222538445517059
"45",45,"g14","14c",18.47,19.49,0.17,0.94,"grass",3,3,6,"rye",208,3,"NT",11,"Iowa","biomass","Moore, Wiedenhoeft, Kaspar, Cambardella",2014,"2009, 2010, 2011","RCBD",6,"Fine-loamy, mixed, superactive, mesic Typic hapludoll and Aquic Hapludoll","Pioneer 36V75","5/3/2016",123,"9/7/2016",250,79000,127,"","unstated","8/5/2016",217,"drilling",3e+06,74,11,"4/22/2016",112,260,"chemical",2.865,19.49333333,663,640,5.33,20.15,NA,"Soil quality","G","north central","fine","medium fine","high","mid",0.0537537193083209,0.000888737584611548
"46",46,"g15","15c",7.14,6.28,2.14,2.2,"grass",3,3,6,"rye",168,3,"CT",NA,"Alabama","grain","Mourtzinis, Arriaga, Balkcom, Price",2015,"2009, 2010, 2011","Split Plot",3,"Coarse-loamy, siliceous, subactive, thermic Plinthic Paleudult and fine, kaolinitic, thermic Rhodic Paleudult",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2802800,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","south east","fine","Coarse","mid",NA,-0.128342795871386,0.0703534220613821
